species,atom_index,symbol,old_charge,new_charge,delta,abs_delta
glucose_3,21,H,0.3998243995884556,0.37087829031995734,-0.028946109268498277,0.028946109268498277
glucose_3,22,H,0.014677660642689869,0.29353315940627417,0.2788554987635843,0.2788554987635843
glucose_3,23,H,-0.10919233712510507,0.11647973880719756,0.22567207593230262,0.22567207593230262
glucose_3,24,H,-0.14259158847899422,-0.023245016931212434,0.11934657154778179,0.11934657154778179
glucose_3,25,H,-0.14259158847899422,-0.023245016931212434,0.11934657154778179,0.11934657154778179
glucose_3,26,H,0.2846258268210974,0.08596675237802762,-0.19865907444306977,0.19865907444306977
glucose_3,27,H,0.3476538775642082,0.35862435040544677,0.010970472841238588,0.010970472841238588
glucose_6,0,H,0.36043087752572145,0.3603276850343017,-0.00010319249141976794,0.00010319249141976794
glucose_6,1,O,-0.6846645258082915,-0.6783168652306697,0.0063476605776218165,0.0063476605776218165
glucose_6,2,C,0.7524671517425965,0.7002467924334951,-0.052220359309101405,0.052220359309101405
glucose_6,3,O,-0.5884049637133366,-0.5255426910419078,0.06286227267142885,0.06286227267142885
glucose_6,4,C,0.3743772900922159,0.3352232862859849,-0.039154003806230964,0.039154003806230964
glucose_6,5,C,0.1416079912209563,-0.09503110670159243,-0.23663909792254872,0.23663909792254872
glucose_6,6,O,-0.7116918011255183,-0.42222723140364404,0.2894645697218743,0.2894645697218743
glucose_6,7,C,1.0046557713317998,0.21420938007256946,-0.7904463912592303,0.7904463912592303
glucose_6,8,C,0.47878655653007185,0.8897966951110974,0.41101013858102553,0.41101013858102553
glucose_6,9,O,-0.7657981403282765,-0.84088942189001,-0.0750912815617335,0.0750912815617335
glucose_6,10,O,-0.712988416201797,-0.84088942189001,-0.12790100568821305,0.12790100568821305
glucose_6,11,C,-0.2839319077453353,-0.3401347748615535,-0.05620286711621825,0.05620286711621825
glucose_6,12,H,0.06286591452697782,0.0783607395809506,0.015494825053972788,0.015494825053972788
glucose_6,13,C,0.234228447422189,0.2463511151715565,0.012122667749367488,0.012122667749367488
glucose_6,14,O,-0.645829260874599,-0.6607861413743233,-0.014956880499724323,0.014956880499724323
glucose_6,15,C,-0.0285334493926116,0.006352294276833814,0.03488574366944541,0.03488574366944541
glucose_6,16,O,-0.6699524303790636,-0.6675293921960972,0.0024230381829664083,0.0024230381829664083
glucose_6,17,H,-0.02029402353429499,-0.015250239333678969,0.005043784200616023,0.005043784200616023
glucose_6,18,H,0.0211952104444154,0.0234162772488107,0.002221066804395301,0.002221066804395301
glucose_6,19,H,0.02498959032891701,0.08878522046671941,0.0637956301378024,0.0637956301378024
glucose_6,20,H,0.024989590328897915,0.08878522046671941,0.0637956301378215,0.0637956301378215
glucose_6,21,H,-0.23077645915489078,-0.04825994843631786,0.18251651071857292,0.18251651071857292
glucose_6,22,H,-0.23077645915488507,-0.04825994843631786,0.1825165107185672,0.1825165107185672
glucose_6,23,H,0.23467001040186197,0.2975193770524993,0.06284936665063734,0.06284936665063734
glucose_6,24,H,0.014678420580056792,0.012013330143113447,-0.0026650904369433445,0.0026650904369433445
glucose_6,25,H,0.3874040732537837,0.3927692951214897,0.005365221867706049,0.005365221867706049
glucose_6,26,H,0.046799359148079755,0.04746676594390083,0.0006674067958210711,0.0006674067958210711
glucose_6,27,H,0.40949558253435936,0.4014937083860805,-0.008001874148278854,0.008001874148278854
glucose_23,0,H,0.3737204654041719,0.36203978845925144,-0.011680676944920476,0.011680676944920476
glucose_23,1,O,-0.6721483086195532,-0.6230997163203464,0.04904859229920677,0.04904859229920677
glucose_23,2,C,0.4689031636643702,0.4515100208351047,-0.017393142829265462,0.017393142829265462
glucose_23,3,O,-0.5911867969549716,-0.5501231328328343,0.041063664122137244,0.041063664122137244
glucose_23,4,C,0.4306040953625707,0.36158852635741356,-0.06901556900515715,0.06901556900515715
glucose_23,5,C,0.21885380076465108,0.2525145549567669,0.03366075419211581,0.03366075419211581
glucose_23,6,O,-0.6683911380375541,-0.6719123669490445,-0.003521228911490426,0.003521228911490426
glucose_23,7,C,-0.33730568794754373,-0.4684429431643995,-0.13113725521685576,0.13113725521685576
glucose_23,8,H,0.13458270770170896,0.17555192715942836,0.04096921945771939,0.04096921945771939
glucose_23,9,C,-0.07208097433724309,0.012211282480855568,0.08429225681809865,0.08429225681809865
glucose_23,10,O,-0.4651762157355886,-0.21034334696234044,0.2548328687732482,0.2548328687732482
glucose_23,11,C,0.6775597165880108,0.05324618008453705,-0.6243135365034738,0.6243135365034738
glucose_23,12,C,0.5648066979321785,0.8551381098747066,0.2903314119425281,0.2903314119425281
glucose_23,13,O,-0.7537559564236432,-0.8490204714984518,-0.0952645150748086,0.0952645150748086
glucose_23,14,O,-0.8110507415085351,-0.8490204714984518,-0.03796972998991677,0.03796972998991677
glucose_23,15,C,0.19111465493029317,-0.31740426083048146,-0.5085189157607746,0.5085189157607746
glucose_23,16,O,-0.6078763872919426,-0.309892435467705,0.2979839518242376,0.2979839518242376
glucose_23,17,C,0.760242211775009,0.15279305759374046,-0.6074491541812685,0.6074491541812685
glucose_23,18,C,0.5029611485197538,0.8293510875120864,0.3263899389923326,0.3263899389923326
glucose_23,19,O,-0.7797292837104418,-0.8361258548190613,-0.05639657110861951,0.05639657110861951
glucose_23,20,O,-0.7232318648093119,-0.8361258548190613,-0.11289399000974942,0.11289399000974942
glucose_23,21,H,0.0624487021997151,0.07558517063134693,0.013136468431631826,0.013136468431631826
glucose_23,22,H,-0.0248237685750326,-0.0006614274930274999,0.0241623410820051,0.0241623410820051
glucose_23,23,H,0.01211045922751958,0.008892252643905741,-0.003218206583613839,0.003218206583613839
glucose_23,24,H,0.012110459227519133,0.008892252643905741,-0.0032182065836133915,0.0032182065836133915
glucose_23,25,H,0.363992019858634,0.3674822330794353,0.003490213220801286,0.003490213220801286
glucose_23,26,H,0.04261852788391707,0.09065584475554667,0.0480373168716296,0.0480373168716296
